エピソード数,単位行動あたりの獲得報酬量
1,0.030019
2,0.103647
3,0.259094
4,0.426481
5,0.539871
6,0.563933
7,0.569508
8,0.573774
9,0.573005
10,0.574255
11,0.575446
12,0.575460
13,0.574659
14,0.575684
15,0.576160
16,0.574584
17,0.575140
18,0.573597
19,0.575772
20,0.575952
21,0.576282
22,0.576923
23,0.576752
24,0.575657
25,0.576640
26,0.577242
27,0.577436
28,0.576440
29,0.575333
30,0.576392
31,0.576949
32,0.576876
33,0.576126
34,0.577739
35,0.577208
36,0.577160
37,0.576451
38,0.577090
39,0.577062
40,0.577126
41,0.577089
42,0.577025
43,0.577225
44,0.576728
45,0.576803
46,0.577088
47,0.576640
48,0.577447
49,0.577208
50,0.577858
51,0.577555
52,0.576868
53,0.577160
54,0.576883
55,0.577456
56,0.577208
57,0.577490
58,0.576885
59,0.577526
60,0.577380
61,0.577014
62,0.577739
63,0.577501
64,0.577225
65,0.577198
66,0.577712
67,0.577793
68,0.577490
69,0.577474
70,0.577463
71,0.577461
72,0.577245
73,0.577366
74,0.576987
75,0.577501
76,0.577640
77,0.577373
78,0.577831
79,0.577467
80,0.577977
81,0.577509
82,0.577307
83,0.577501
84,0.577355
85,0.577593
86,0.577674
87,0.577793
88,0.577712
89,0.577066
90,0.577011
91,0.577674
92,0.577198
93,0.577344
94,0.577347
95,0.577089
96,0.577878
97,0.577463
98,0.577528
99,0.577647
100,0.577463
